task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	87/846efb	129982	create_kmers_database (1)	COMPLETED	0	2025-11-24 13:41:55.326	40m 18s	40m 13s	1356.7%	11.4 GB	17.9 GB	673.3 GB	418.5 GB
5	a4/1394b0	129984	print_paths (1)	COMPLETED	0	2025-11-24 14:22:13.288	4.9s	69ms	75.1%	0	0	212.7 KB	1.1 KB
2	c0/f68201	129980	create_kmers_database (2)	COMPLETED	0	2025-11-24 13:41:55.250	47m 8s	47m 4s	1361.6%	11.7 GB	20.2 GB	670.3 GB	404.5 GB
6	7f/91f275	129985	print_paths (2)	COMPLETED	0	2025-11-24 14:29:03.296	5s	73ms	58.2%	0	0	212.7 KB	1.1 KB
3	35/25ac70	129981	create_kmers_database (3)	COMPLETED	0	2025-11-24 13:41:55.289	49m 28s	49m 23s	1334.2%	19.5 GB	27.9 GB	668.8 GB	395.3 GB
7	a8/e9484f	129986	print_paths (3)	COMPLETED	0	2025-11-24 14:31:23.275	5s	67ms	92.5%	0	0	212.7 KB	1.1 KB
4	f9/cdb388	129979	create_kmers_database (4)	COMPLETED	0	2025-11-24 13:41:55.203	1h 11m 33s	1h 11m 27s	1468.0%	15.8 GB	23 GB	661.2 GB	382.2 GB
8	bc/9a5747	130012	print_paths (4)	COMPLETED	0	2025-11-24 14:53:28.335	4.9s	66ms	79.0%	0	0	212.7 KB	1.1 KB
9	cb/9e2285	130014	sort_kmer_db (1)	COMPLETED	0	2025-11-24 14:53:33.389	4.9s	23ms	100.0%	0	0	135.6 KB	3.6 KB
10	45/fa9914	130017	FastKM (1)	COMPLETED	0	2025-11-24 14:53:38.398	2h 55m 5s	2h 55m 1s	4003.9%	22.6 GB	26.2 GB	88.2 GB	4.8 GB
13	e0/455059	130082	trainRF (1)	COMPLETED	0	2025-11-24 17:48:43.695	11m 30s	11m 27s	99.1%	9 GB	11.3 GB	1.2 GB	856.9 MB
14	38/bc3e7e	130083	predictRF (1)	COMPLETED	0	2025-11-24 18:00:13.700	44.9s	42.9s	99.3%	742 MB	3 GB	69.2 MB	40.8 MB
18	1f/bb3b42	130084	predictRF (5)	COMPLETED	0	2025-11-24 18:00:13.731	44.9s	42.9s	98.3%	740.7 MB	3 GB	69.5 MB	41.3 MB
24	e3/a1f90a	130086	predictRF (11)	COMPLETED	0	2025-11-24 18:00:13.795	54.8s	51.6s	97.4%	741.6 MB	3 GB	68 MB	38.3 MB
21	05/e2eca3	130085	predictRF (8)	COMPLETED	0	2025-11-24 18:00:13.763	54.9s	52s	97.6%	742 MB	3 GB	67.2 MB	36.8 MB
19	8c/8651e9	130087	predictRF (6)	COMPLETED	0	2025-11-24 18:00:13.828	54.8s	51.1s	97.9%	740.7 MB	3 GB	69 MB	40.3 MB
20	a2/c82033	130088	predictRF (7)	COMPLETED	0	2025-11-24 18:00:13.860	54.8s	50.7s	97.2%	743.4 MB	3 GB	67.9 MB	38.2 MB
