task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	93/7573e6	129644	create_kmers_database (4)	COMPLETED	0	2025-11-22 12:10:09.672	41m 14s	41m 9s	1195.1%	14.4 GB	19.4 GB	817.2 GB	477.2 GB
5	bf/cf9937	129651	print_paths (1)	COMPLETED	0	2025-11-22 12:51:24.145	4.9s	44ms	69.6%	3.2 MB	217.4 MB	208.7 KB	1.1 KB
1	e3/4943b2	129641	create_kmers_database (1)	COMPLETED	0	2025-11-22 12:10:09.553	58m 50s	58m 46s	1456.7%	11.5 GB	18 GB	843 GB	528.4 GB
6	ef/158561	129655	print_paths (2)	COMPLETED	0	2025-11-22 13:08:59.139	5s	48ms	72.7%	3.2 MB	217.4 MB	208.7 KB	1.1 KB
2	d5/0da88e	129642	create_kmers_database (2)	COMPLETED	0	2025-11-22 12:10:09.596	1h 14s	1h 13s	1433.5%	11.4 GB	17.8 GB	835.4 GB	509.1 GB
7	b3/71d487	129656	print_paths (3)	COMPLETED	0	2025-11-22 13:10:24.160	4.9s	31ms	95.2%	0	0	208.7 KB	1.1 KB
3	07/360ab8	129643	create_kmers_database (3)	COMPLETED	0	2025-11-22 12:10:09.633	1h 1m 29s	1h 1m 28s	1345.2%	18.7 GB	25.9 GB	827.1 GB	493.3 GB
8	f3/b0f6f4	129657	print_paths (4)	COMPLETED	0	2025-11-22 13:11:39.151	4.9s	35ms	73.6%	0	0	208.7 KB	1.1 KB
9	a8/16ddcb	129658	sort_kmer_db (1)	COMPLETED	0	2025-11-22 13:11:44.192	4.9s	15ms	82.8%	0	0	135.7 KB	3.6 KB
12	ee/dd1867	129659	FastKM (3)	COMPLETED	0	2025-11-22 13:11:49.155	2h 6m 15s	2h 6m 12s	3833.3%	15.4 GB	18.9 GB	69.6 GB	4.8 GB
13	6b/165d1d	129675	trainRF (1)	COMPLETED	0	2025-11-22 15:18:04.421	12m 25s	12m 21s	98.9%	10.1 GB	12.4 GB	977 MB	677.3 MB
23	44/d0bec1	129683	predictRF (10)	COMPLETED	0	2025-11-22 15:30:29.651	24.7s	20.3s	96.5%	478.6 MB	2.7 GB	46.9 MB	10.9 MB
14	5b/59359b	129685	predictRF (1)	COMPLETED	0	2025-11-22 15:30:29.708	44.7s	39.1s	98.8%	743.1 MB	3 GB	68.1 MB	37.8 MB
20	22/90047b	129686	predictRF (7)	COMPLETED	0	2025-11-22 15:30:29.737	44.6s	39.9s	98.2%	743.3 MB	3 GB	68 MB	37.7 MB
22	04/8cb7a0	129681	predictRF (9)	COMPLETED	0	2025-11-22 15:30:29.591	49.8s	46.6s	97.2%	742.6 MB	3 GB	68.1 MB	37.8 MB
