process	n_tasks	total_wall_hours	total_cpu_hours	max_peak_rss_GiB	max_peak_vmem_GiB	total_read_GiB	total_write_GiB
FastKM	7	17.276666666666664	689.6071569444443	29.9	32.9	556.8	27.8
seqtk	21	6.886111111111112	42.70838555555556	0.37119140625	0.96396484375	2053.9	1362.1000000000001
kmc3	4	1.71	21.46418611111111	28.2	39.6	3046.2	1615.3999999999999
predictRF	131	0.911055555555556	0.8683010555555553	0.74501953125	1	8.449999999999996	4.4517578125
trainRF	7	0.625	0.6088730555555556	14.1	14.4	11.599609375	7.90361328125
