task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar	process	submit_time	realtime_seconds	duration_seconds	cpu_percent	cpu_time_seconds	peak_rss_GiB	peak_vmem_GiB	read_GiB	write_GiB	cpu_hours	wall_hours
22	0e/23984e	45525900	predictRF (5)	COMPLETED	0	2025-03-08T17:58:55Z	2m 10s	20.8s	95.4%	730.3 MB	1005.9 MB	66.5 MB	36.5 MB	predictRF	2025-03-08T17:58:55Z	20.8	130	95.4	19.843200000000003	0.71318359375	0.98232421875	0.06494140625	0.03564453125	0.005512000000000001	0.005777777777777778
12	3d/93b1a5	45495808	FastKM (3)	COMPLETED	0	2025-03-08T16:53:05Z	1h 9m 20s	1h 1m 51s	3517.6%	15.2 GB	18.4 GB	50.8 GB	3.6 GB	FastKM	2025-03-08T16:53:05Z	3711	4160	3517.6	130538.136	15.2	18.4	50.8	3.6	36.26059333333333	1.0308333333333333
25	1f/d31da7	45527133	trainRF (2)	COMPLETED	0	2025-03-08T18:00:30Z	4m 25s	3m 55s	97.9%	8.5 GB	8.7 GB	744.9 MB	520.5 MB	trainRF	2025-03-08T18:00:30Z	235	265	97.9	230.065	8.5	8.7	0.72744140625	0.50830078125	0.06390694444444445	0.06527777777777778
26	d1/dedb41	45529231	trainRF (3)	COMPLETED	0	2025-03-08T18:02:25Z	3m 30s	2m 57s	97.6%	5.1 GB	5.3 GB	587.9 MB	416.3 MB	trainRF	2025-03-08T18:02:25Z	177	210	97.6	172.752	5.1	5.3	0.57412109375	0.40654296875	0.04798666666666667	0.049166666666666664
33	21/3a66e1	45530983	predictRF (14)	COMPLETED	0	2025-03-08T18:04:55Z	2m 55s	19.1s	95.0%	722.5 MB	998.3 MB	66.3 MB	36.4 MB	predictRF	2025-03-08T18:04:55Z	19.1	175	95	18.145000000000003	0.70556640625	0.97490234375	0.06474609375	0.035546875	0.005040277777777779	0.0053055555555555555
28	0c/b466f7	45530987	predictRF (9)	COMPLETED	0	2025-03-08T18:04:55Z	3m	18.5s	95.6%	722 MB	998.3 MB	66.1 MB	36.2 MB	predictRF	2025-03-08T18:04:55Z	18.5	180	95.6	17.686	0.705078125	0.97490234375	0.06455078125	0.0353515625	0.004912777777777778	0.005138888888888889
34	ed/85ac8f	45530990	predictRF (15)	COMPLETED	0	2025-03-08T18:04:55Z	3m 15s	5.7s	93.4%	454.2 MB	730.9 MB	41.2 MB	4.1 MB	predictRF	2025-03-08T18:04:55Z	5.7	195	93.4	5.3238	0.4435546875	0.71376953125	0.040234375	0.00400390625	0.0014788333333333335	0.0015833333333333333
27	54/05b948	45530985	predictRF (8)	COMPLETED	0	2025-03-08T18:04:55Z	3m 20s	19s	95.5%	723.2 MB	999.6 MB	66.1 MB	36.2 MB	predictRF	2025-03-08T18:04:55Z	19	200	95.5	18.145	0.70625	0.976171875	0.06455078125	0.0353515625	0.005040277777777778	0.005277777777777778
31	43/48bf14	45530989	predictRF (12)	COMPLETED	0	2025-03-08T18:04:55Z	3m 25s	19.7s	95.4%	723.1 MB	998.3 MB	66.3 MB	36.4 MB	predictRF	2025-03-08T18:04:55Z	19.7	205	95.4	18.7938	0.70615234375	0.97490234375	0.06474609375	0.035546875	0.0052205	0.005472222222222222
29	15/b43624	45530984	predictRF (10)	COMPLETED	0	2025-03-08T18:04:55Z	3m 25s	19.7s	95.5%	722.4 MB	998.3 MB	66.1 MB	36.2 MB	predictRF	2025-03-08T18:04:55Z	19.7	205	95.5	18.813499999999998	0.70546875	0.97490234375	0.06455078125	0.0353515625	0.005225972222222221	0.005472222222222222
32	e8/fff1de	45530988	predictRF (13)	COMPLETED	0	2025-03-08T18:04:55Z	3m 30s	19.8s	95.5%	723.1 MB	998.3 MB	66.3 MB	36.3 MB	predictRF	2025-03-08T18:04:55Z	19.8	210	95.5	18.909000000000002	0.70615234375	0.97490234375	0.06474609375	0.03544921875	0.005252500000000001	0.0055000000000000005
30	65/a4a0ed	45530986	predictRF (11)	COMPLETED	0	2025-03-08T18:04:55Z	3m 30s	19.8s	95.6%	721.4 MB	998.3 MB	66.2 MB	36.3 MB	predictRF	2025-03-08T18:04:55Z	19.8	210	95.6	18.9288	0.7044921875	0.97490234375	0.0646484375	0.03544921875	0.005258	0.0055000000000000005
40	da/bec9ca	45531769	predictRF (21)	COMPLETED	0	2025-03-08T18:05:55Z	2m 40s	4.9s	93.5%	406.6 MB	683.7 MB	40.3 MB	3.5 MB	predictRF	2025-03-08T18:05:55Z	4.9	160	93.5	4.5815	0.3970703125	0.66767578125	0.03935546875	0.00341796875	0.001272638888888889	0.0013611111111111111
36	92/903304	45531770	predictRF (17)	COMPLETED	0	2025-03-08T18:05:55Z	2m 55s	18.5s	95.4%	722.7 MB	999.2 MB	66.4 MB	37.6 MB	predictRF	2025-03-08T18:05:55Z	18.5	175	95.4	17.649	0.70576171875	0.97578125	0.06484375	0.03671875	0.004902500000000001	0.005138888888888889
39	e8/1cf6a8	45531771	predictRF (20)	COMPLETED	0	2025-03-08T18:05:55Z	3m	19.2s	95.1%	723.6 MB	999.2 MB	66.6 MB	37.9 MB	predictRF	2025-03-08T18:05:55Z	19.2	180	95.1	18.2592	0.706640625	0.97578125	0.0650390625	0.03701171875	0.005072	0.005333333333333333
35	2b/6d0f7a	45531773	predictRF (16)	COMPLETED	0	2025-03-08T18:05:55Z	3m	19.2s	95.3%	723.5 MB	999.9 MB	66.4 MB	37.7 MB	predictRF	2025-03-08T18:05:55Z	19.2	180	95.3	18.2976	0.70654296875	0.97646484375	0.06484375	0.03681640625	0.005082666666666667	0.005333333333333333
38	92/bdd7ac	45531772	predictRF (19)	COMPLETED	0	2025-03-08T18:05:55Z	3m	19.2s	95.2%	723 MB	999.2 MB	66.6 MB	37.9 MB	predictRF	2025-03-08T18:05:55Z	19.2	180	95.2	18.278399999999998	0.7060546875	0.97578125	0.0650390625	0.03701171875	0.005077333333333333	0.005333333333333333
37	0e/477d0a	45531774	predictRF (18)	COMPLETED	0	2025-03-08T18:05:55Z	3m	19s	95.3%	725.5 MB	1000.7 MB	66.5 MB	37.7 MB	predictRF	2025-03-08T18:05:55Z	19	180	95.3	18.107	0.70849609375	0.97724609375	0.06494140625	0.03681640625	0.005029722222222222	0.005277777777777778
15	da/11c9fe	45495811	FastKM (6)	COMPLETED	0	2025-03-08T16:53:05Z	2h 49m 45s	2h 42m 14s	4112.4%	12.2 GB	15.2 GB	65.4 GB	4.3 GB	FastKM	2025-03-08T16:53:05Z	9734	10185	4112.4	400301.01599999995	12.2	15.2	65.4	4.3	111.19472666666665	2.703888888888889
41	48/65e572	45579135	trainRF (4)	COMPLETED	0	2025-03-08T19:42:50Z	6m	5m 36s	97.4%	12.7 GB	13 GB	2.6 GB	1.8 GB	trainRF	2025-03-08T19:42:50Z	336	360	97.4	327.264	12.7	13	2.6	1.8	0.09090666666666666	0.09333333333333334
53	e0/dc886d	45579276	predictRF (33)	COMPLETED	0	2025-03-08T19:48:51Z	3m 19s	18s	95.7%	738.3 MB	1013.5 MB	66.9 MB	35.8 MB	predictRF	2025-03-08T19:48:51Z	18	199	95.7	17.226000000000003	0.72099609375	0.98974609375	0.06533203125	0.0349609375	0.004785000000000001	0.005
67	f1/e06d64	45579274	predictRF (47)	COMPLETED	0	2025-03-08T19:48:51Z	3m 24s	18.3s	95.6%	738.1 MB	1013.5 MB	66.5 MB	34.8 MB	predictRF	2025-03-08T19:48:51Z	18.3	204	95.6	17.4948	0.72080078125	0.98974609375	0.06494140625	0.033984375	0.004859666666666667	0.005083333333333334
45	e1/684095	45579275	predictRF (25)	COMPLETED	0	2025-03-08T19:48:51Z	3m 29s	18.6s	95.1%	738.3 MB	1013.6 MB	67 MB	36.1 MB	predictRF	2025-03-08T19:48:51Z	18.6	209	95.1	17.6886	0.72099609375	0.98984375	0.0654296875	0.03525390625	0.0049135	0.005166666666666667
46	4b/19b64b	45579273	predictRF (26)	COMPLETED	0	2025-03-08T19:48:51Z	3m 29s	18.6s	95.1%	737.9 MB	1013.6 MB	67.1 MB	36.1 MB	predictRF	2025-03-08T19:48:51Z	18.6	209	95.1	17.6886	0.72060546875	0.98984375	0.06552734375	0.03525390625	0.0049135	0.005166666666666667
57	70/4a4e06	45579283	predictRF (37)	COMPLETED	0	2025-03-08T19:48:51Z	3m 29s	18.8s	95.1%	737.9 MB	1013.6 MB	66.8 MB	35.5 MB	predictRF	2025-03-08T19:48:51Z	18.8	209	95.1	17.8788	0.72060546875	0.98984375	0.065234375	0.03466796875	0.004966333333333333	0.005222222222222223
62	38/f5fe10	45579277	predictRF (42)	COMPLETED	0	2025-03-08T19:48:51Z	3m 34s	18.5s	95.2%	737.7 MB	1013.6 MB	66.7 MB	35.3 MB	predictRF	2025-03-08T19:48:51Z	18.5	214	95.2	17.612000000000002	0.72041015625	0.98984375	0.06513671875	0.03447265625	0.004892222222222223	0.005138888888888889
65	a9/4f701d	45579278	predictRF (45)	COMPLETED	0	2025-03-08T19:48:51Z	3m 34s	18.6s	95.1%	737.7 MB	1013.6 MB	66.6 MB	35 MB	predictRF	2025-03-08T19:48:51Z	18.6	214	95.1	17.6886	0.72041015625	0.98984375	0.0650390625	0.0341796875	0.0049135	0.005166666666666667
60	d4/ed0992	45579279	predictRF (40)	COMPLETED	0	2025-03-08T19:48:51Z	3m 34s	19.3s	94.7%	737.2 MB	1013.6 MB	66.8 MB	35.5 MB	predictRF	2025-03-08T19:48:51Z	19.3	214	94.7	18.2771	0.719921875	0.98984375	0.065234375	0.03466796875	0.005076972222222222	0.005361111111111112
70	18/a46091	45579280	predictRF (50)	COMPLETED	0	2025-03-08T19:48:51Z	3m 34s	18.6s	95.0%	737.3 MB	1013.6 MB	66.2 MB	34.2 MB	predictRF	2025-03-08T19:48:51Z	18.6	214	95	17.67	0.72001953125	0.98984375	0.0646484375	0.0333984375	0.004908333333333334	0.005166666666666667
52	06/0a4847	45579281	predictRF (32)	COMPLETED	0	2025-03-08T19:48:51Z	3m 34s	19.1s	95.0%	738.1 MB	1013.6 MB	67 MB	35.9 MB	predictRF	2025-03-08T19:48:51Z	19.1	214	95	18.145000000000003	0.72080078125	0.98984375	0.0654296875	0.03505859375	0.005040277777777779	0.0053055555555555555
58	4a/10340a	45579282	predictRF (38)	COMPLETED	0	2025-03-08T19:48:51Z	3m 34s	19.1s	94.9%	737.8 MB	1013.6 MB	66.9 MB	35.7 MB	predictRF	2025-03-08T19:48:51Z	19.1	214	94.9	18.1259	0.7205078125	0.98984375	0.06533203125	0.03486328125	0.005034972222222223	0.0053055555555555555
72	88/913d32	45579266	predictRF (52)	COMPLETED	0	2025-03-08T19:48:50Z	3m 59s	6.6s	93.7%	493.6 MB	770.3 MB	43.7 MB	6.7 MB	predictRF	2025-03-08T19:48:50Z	6.6	239	93.7	6.1842	0.48203125	0.75224609375	0.04267578125	0.00654296875	0.0017178333333333331	0.0018333333333333333
