task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar	process	submit_time	realtime_seconds	duration_seconds	cpu_percent	cpu_time_seconds	peak_rss_GiB	peak_vmem_GiB	read_GiB	write_GiB	cpu_hours	wall_hours
98	ea/f4a692	45579643	predictRF (77)	COMPLETED	0	2025-03-08T20:03:00Z	12m 19s	21.6s	95.7%	726.1 MB	1002.2 MB	66.7 MB	35.1 MB	predictRF	2025-03-08T20:03:00Z	21.6	739	95.7	20.671200000000002	0.70908203125	0.9787109375	0.06513671875	0.03427734375	0.005742000000000001	0.006
82	ca/1572f0	45579663	predictRF (61)	COMPLETED	0	2025-03-08T20:03:01Z	12m 18s	19.4s	95.8%	726.4 MB	1002.2 MB	67 MB	35.9 MB	predictRF	2025-03-08T20:03:01Z	19.4	738	95.8	18.585199999999997	0.709375	0.9787109375	0.0654296875	0.03505859375	0.005162555555555555	0.005388888888888888
97	86/9c6256	45579659	predictRF (76)	COMPLETED	0	2025-03-08T20:03:01Z	12m 24s	19.6s	95.6%	725.6 MB	1002.1 MB	66.7 MB	35.2 MB	predictRF	2025-03-08T20:03:01Z	19.6	744	95.6	18.7376	0.70859375	0.97861328125	0.06513671875	0.034375	0.005204888888888889	0.0054444444444444445
87	2e/6c8fff	45579658	predictRF (66)	COMPLETED	0	2025-03-08T20:03:01Z	12m 24s	23.1s	96.2%	726 MB	1002.2 MB	66.9 MB	35.8 MB	predictRF	2025-03-08T20:03:01Z	23.1	744	96.2	22.2222	0.708984375	0.9787109375	0.06533203125	0.0349609375	0.006172833333333334	0.006416666666666667
84	61/883096	45579640	predictRF (63)	COMPLETED	0	2025-03-08T20:03:00Z	12m 30s	20.5s	95.3%	725.5 MB	1002.1 MB	66.9 MB	35.8 MB	predictRF	2025-03-08T20:03:00Z	20.5	750	95.3	19.5365	0.70849609375	0.97861328125	0.06533203125	0.0349609375	0.005426805555555555	0.005694444444444445
93	f2/a7ffbc	45579642	predictRF (72)	COMPLETED	0	2025-03-08T20:03:00Z	12m 29s	25.6s	95.6%	726.3 MB	1002.2 MB	66.8 MB	35.6 MB	predictRF	2025-03-08T20:03:00Z	25.6	749	95.6	24.4736	0.70927734375	0.9787109375	0.065234375	0.034765625	0.006798222222222223	0.0071111111111111115
102	d6/709780	45579655	predictRF (81)	COMPLETED	0	2025-03-08T20:03:01Z	12m 29s	23.8s	96.0%	726.9 MB	1002.2 MB	66.5 MB	34.6 MB	predictRF	2025-03-08T20:03:01Z	23.8	749	96	22.848000000000003	0.70986328125	0.9787109375	0.06494140625	0.0337890625	0.006346666666666667	0.006611111111111111
99	41/bf4210	45579647	predictRF (78)	COMPLETED	0	2025-03-08T20:03:01Z	12m 34s	26.6s	94.5%	725.1 MB	1002.2 MB	66.6 MB	35 MB	predictRF	2025-03-08T20:03:01Z	26.6	754	94.5	25.137000000000004	0.70810546875	0.9787109375	0.0650390625	0.0341796875	0.006982500000000001	0.007388888888888889
96	11/d3b5c8	45579653	predictRF (75)	COMPLETED	0	2025-03-08T20:03:01Z	12m 39s	25.9s	94.6%	726.3 MB	1002.2 MB	66.7 MB	35.2 MB	predictRF	2025-03-08T20:03:01Z	25.9	759	94.6	24.5014	0.70927734375	0.9787109375	0.06513671875	0.034375	0.006805944444444444	0.007194444444444444
86	ba/f6a7f9	45579638	predictRF (65)	COMPLETED	0	2025-03-08T20:03:00Z	12m 45s	30.7s	94.6%	726.3 MB	1002.2 MB	66.9 MB	35.8 MB	predictRF	2025-03-08T20:03:00Z	30.7	765	94.6	29.042199999999998	0.70927734375	0.9787109375	0.06533203125	0.0349609375	0.008067277777777777	0.008527777777777778
89	03/b64a4b	45579644	predictRF (68)	COMPLETED	0	2025-03-08T20:03:00Z	12m 44s	29.4s	94.4%	725.1 MB	1008 MB	66.9 MB	35.7 MB	predictRF	2025-03-08T20:03:00Z	29.4	764	94.4	27.753600000000002	0.70810546875	0.984375	0.06533203125	0.03486328125	0.007709333333333334	0.008166666666666666
100	e6/a72cb7	45579646	predictRF (79)	COMPLETED	0	2025-03-08T20:03:01Z	12m 44s	28.8s	96.2%	725.5 MB	1002.2 MB	66.6 MB	34.9 MB	predictRF	2025-03-08T20:03:01Z	28.8	764	96.2	27.7056	0.70849609375	0.9787109375	0.0650390625	0.03408203125	0.007696	0.008
103	14/d3e997	45579650	predictRF (82)	COMPLETED	0	2025-03-08T20:03:01Z	12m 44s	26.5s	96.0%	725.4 MB	1002.2 MB	66.5 MB	34.6 MB	predictRF	2025-03-08T20:03:01Z	26.5	764	96	25.44	0.7083984375	0.9787109375	0.06494140625	0.0337890625	0.007066666666666667	0.007361111111111111
106	b2/ccb3de	45579662	predictRF (85)	COMPLETED	0	2025-03-08T20:03:01Z	12m 43s	21.6s	94.4%	688.7 MB	964.4 MB	57.1 MB	23.3 MB	predictRF	2025-03-08T20:03:01Z	21.6	763	94.4	20.390400000000003	0.67255859375	0.941796875	0.05576171875	0.02275390625	0.005664000000000001	0.006
94	c2/e624ca	45579639	predictRF (73)	COMPLETED	0	2025-03-08T20:03:00Z	12m 50s	28.9s	95.7%	725.3 MB	1002.2 MB	66.8 MB	35.4 MB	predictRF	2025-03-08T20:03:00Z	28.9	770	95.7	27.6573	0.70830078125	0.9787109375	0.065234375	0.0345703125	0.007682583333333333	0.008027777777777778
105	13/8bf242	45579641	predictRF (84)	COMPLETED	0	2025-03-08T20:03:00Z	12m 50s	28.3s	95.1%	725.7 MB	1002.2 MB	66 MB	33.3 MB	predictRF	2025-03-08T20:03:00Z	28.3	770	95.1	26.9133	0.70869140625	0.9787109375	0.064453125	0.03251953125	0.007475916666666666	0.007861111111111112
91	db/5cb44e	45579645	predictRF (70)	COMPLETED	0	2025-03-08T20:03:01Z	12m 49s	29s	95.9%	726.2 MB	1002.2 MB	66.8 MB	35.5 MB	predictRF	2025-03-08T20:03:01Z	29	769	95.9	27.811000000000003	0.7091796875	0.9787109375	0.065234375	0.03466796875	0.007725277777777779	0.008055555555555555
77	ea/ac1f31	45579648	predictRF (56)	COMPLETED	0	2025-03-08T20:03:01Z	12m 49s	29.1s	95.8%	726.2 MB	1002.2 MB	67 MB	36 MB	predictRF	2025-03-08T20:03:01Z	29.1	769	95.8	27.8778	0.7091796875	0.9787109375	0.0654296875	0.03515625	0.0077438333333333335	0.008083333333333333
78	09/b870ab	45579649	predictRF (57)	COMPLETED	0	2025-03-08T20:03:01Z	12m 49s	29.4s	95.8%	725.9 MB	1002.1 MB	67 MB	36.1 MB	predictRF	2025-03-08T20:03:01Z	29.4	769	95.8	28.1652	0.70888671875	0.97861328125	0.0654296875	0.03525390625	0.007823666666666666	0.008166666666666666
79	67/d898c7	45579654	predictRF (58)	COMPLETED	0	2025-03-08T20:03:01Z	12m 49s	28.5s	95.9%	725.7 MB	1002.2 MB	67 MB	36.1 MB	predictRF	2025-03-08T20:03:01Z	28.5	769	95.9	27.331500000000002	0.70869140625	0.9787109375	0.0654296875	0.03525390625	0.0075920833333333335	0.007916666666666667
74	ca/72cf90	45579660	predictRF (53)	COMPLETED	0	2025-03-08T20:03:01Z	12m 49s	26.6s	95.5%	727 MB	1002.2 MB	67 MB	35.9 MB	predictRF	2025-03-08T20:03:01Z	26.6	769	95.5	25.403000000000002	0.7099609375	0.9787109375	0.0654296875	0.03505859375	0.00705638888888889	0.007388888888888889
92	a7/6d392f	45579656	predictRF (71)	COMPLETED	0	2025-03-08T20:03:01Z	12m 49s	28.3s	96.0%	725.6 MB	1002.2 MB	67 MB	36 MB	predictRF	2025-03-08T20:03:01Z	28.3	769	96	27.168000000000003	0.70859375	0.9787109375	0.0654296875	0.03515625	0.007546666666666668	0.007861111111111112
83	b9/f8080c	45579661	predictRF (62)	COMPLETED	0	2025-03-08T20:03:01Z	12m 49s	28s	96.0%	726.1 MB	1002.2 MB	67 MB	36 MB	predictRF	2025-03-08T20:03:01Z	28	769	96	26.88	0.70908203125	0.9787109375	0.0654296875	0.03515625	0.007466666666666667	0.0077777777777777776
88	0b/ff1a58	45579651	predictRF (67)	COMPLETED	0	2025-03-08T20:03:01Z	12m 54s	24.3s	95.5%	725.7 MB	1002.2 MB	66.9 MB	35.7 MB	predictRF	2025-03-08T20:03:01Z	24.3	774	95.5	23.206500000000002	0.70869140625	0.9787109375	0.06533203125	0.03486328125	0.006446250000000001	0.00675
75	d2/347a80	45579657	predictRF (54)	COMPLETED	0	2025-03-08T20:03:01Z	12m 54s	25.5s	95.7%	725.5 MB	1002.2 MB	67 MB	36 MB	predictRF	2025-03-08T20:03:01Z	25.5	774	95.7	24.403499999999998	0.70849609375	0.9787109375	0.0654296875	0.03515625	0.006778749999999999	0.007083333333333333
81	71/2b99d1	45579652	predictRF (60)	COMPLETED	0	2025-03-08T20:03:01Z	12m 54s	24.1s	95.5%	725.2 MB	1002.1 MB	66.9 MB	35.9 MB	predictRF	2025-03-08T20:03:01Z	24.1	774	95.5	23.015500000000003	0.708203125	0.97861328125	0.06533203125	0.03505859375	0.006393194444444445	0.006694444444444445
10	cd/12fd00	45495807	FastKM (1)	COMPLETED	0	2025-03-08T16:53:05Z	4h 6m 35s	3h 59m 5s	4081.4%	16.4 GB	19.3 GB	123.6 GB	4.2 GB	FastKM	2025-03-08T16:53:05Z	14345	14795	4081.4	585476.83	16.4	19.3	123.6	4.2	162.63245277777776	3.984722222222222
107	89/e807dd	45580928	trainRF (6)	COMPLETED	0	2025-03-08T20:59:40Z	11m 5s	10m 23s	97.3%	14.1 GB	14.4 GB	2.4 GB	1.6 GB	trainRF	2025-03-08T20:59:40Z	623	665	97.3	606.179	14.1	14.4	2.4	1.6	0.16838305555555555	0.17305555555555555
115	0b/c76dbd	45581190	predictRF (93)	COMPLETED	0	2025-03-08T21:10:45Z	1m 15s	26.9s	95.0%	694.3 MB	971.1 MB	65 MB	33.3 MB	predictRF	2025-03-08T21:10:45Z	26.9	75	95	25.555	0.67802734375	0.94833984375	0.0634765625	0.03251953125	0.007098611111111111	0.007472222222222222
126	c2/82697c	45581191	predictRF (104)	COMPLETED	0	2025-03-08T21:10:45Z	1m 50s	56.2s	95.5%	694.4 MB	970.7 MB	65 MB	34.6 MB	predictRF	2025-03-08T21:10:45Z	56.2	110	95.5	53.67100000000001	0.678125	0.94794921875	0.0634765625	0.0337890625	0.014908611111111112	0.015611111111111112
109	d5/4209e0	45581192	predictRF (87)	COMPLETED	0	2025-03-08T21:10:45Z	2m 15s	26.7s	95.1%	693.6 MB	970.7 MB	65 MB	32.7 MB	predictRF	2025-03-08T21:10:45Z	26.7	135	95.1	25.391699999999997	0.67734375	0.94794921875	0.0634765625	0.03193359375	0.007053249999999999	0.007416666666666667
122	f5/a76af2	45581193	predictRF (100)	COMPLETED	0	2025-03-08T21:10:45Z	3m 15s	26.8s	94.8%	694.8 MB	970.7 MB	64.9 MB	35.1 MB	predictRF	2025-03-08T21:10:45Z	26.8	195	94.8	25.406399999999998	0.678515625	0.94794921875	0.06337890625	0.03427734375	0.007057333333333333	0.0074444444444444445
108	4e/dc73a8	45581194	predictRF (86)	COMPLETED	0	2025-03-08T21:10:45Z	3m 55s	54.3s	95.3%	694.2 MB	970.7 MB	65 MB	32.7 MB	predictRF	2025-03-08T21:10:45Z	54.3	235	95.3	51.7479	0.6779296875	0.94794921875	0.0634765625	0.03193359375	0.014374416666666667	0.015083333333333332
127	83/58b080	45581195	predictRF (105)	COMPLETED	0	2025-03-08T21:10:45Z	4m 15s	26.5s	94.4%	694.8 MB	970.7 MB	64.9 MB	32.4 MB	predictRF	2025-03-08T21:10:45Z	26.5	255	94.4	25.016000000000005	0.678515625	0.94794921875	0.06337890625	0.031640625	0.006948888888888891	0.007361111111111111
124	bd/47884f	45581196	predictRF (102)	COMPLETED	0	2025-03-08T21:10:45Z	5m 15s	26.6s	95.0%	693.9 MB	970.7 MB	64.9 MB	35.1 MB	predictRF	2025-03-08T21:10:45Z	26.6	315	95	25.27	0.67763671875	0.94794921875	0.06337890625	0.03427734375	0.0070194444444444445	0.007388888888888889
118	1f/ce0be6	45581197	predictRF (96)	COMPLETED	0	2025-03-08T21:10:45Z	5m 55s	57.6s	95.4%	694.7 MB	970.7 MB	64.9 MB	34 MB	predictRF	2025-03-08T21:10:45Z	57.6	355	95.4	54.95040000000001	0.67841796875	0.94794921875	0.06337890625	0.033203125	0.015264000000000003	0.016
119	f3/e38365	45581198	predictRF (97)	COMPLETED	0	2025-03-08T21:10:45Z	6m 15s	26.5s	95.1%	695.1 MB	970.7 MB	65 MB	34.2 MB	predictRF	2025-03-08T21:10:45Z	26.5	375	95.1	25.201499999999996	0.67880859375	0.94794921875	0.0634765625	0.0333984375	0.007000416666666665	0.007361111111111111
110	83/9a4001	45581199	predictRF (88)	COMPLETED	0	2025-03-08T21:10:45Z	7m 15s	26.6s	95.1%	695.3 MB	970.7 MB	64.9 MB	32.8 MB	predictRF	2025-03-08T21:10:45Z	26.6	435	95.1	25.296599999999998	0.67900390625	0.94794921875	0.06337890625	0.03203125	0.007026833333333333	0.007388888888888889
125	2e/5fec66	45581200	predictRF (103)	COMPLETED	0	2025-03-08T21:10:45Z	7m 55s	56.2s	95.4%	694.2 MB	970.7 MB	65 MB	31.2 MB	predictRF	2025-03-08T21:10:45Z	56.2	475	95.4	53.6148	0.6779296875	0.94794921875	0.0634765625	0.03046875	0.014893	0.015611111111111112
117	86/30c919	45581201	predictRF (95)	COMPLETED	0	2025-03-08T21:10:45Z	8m 15s	26.6s	94.6%	694.8 MB	970.7 MB	65 MB	31.3 MB	predictRF	2025-03-08T21:10:45Z	26.6	495	94.6	25.163600000000002	0.678515625	0.94794921875	0.0634765625	0.03056640625	0.006989888888888889	0.007388888888888889
114	22/18eb78	45581202	predictRF (92)	COMPLETED	0	2025-03-08T21:10:45Z	9m 15s	26.8s	95.0%	694.2 MB	970.7 MB	65 MB	33.6 MB	predictRF	2025-03-08T21:10:45Z	26.8	555	95	25.46	0.6779296875	0.94794921875	0.0634765625	0.0328125	0.007072222222222223	0.0074444444444444445
120	9e/0558fb	45581203	predictRF (98)	COMPLETED	0	2025-03-08T21:10:46Z	9m 54s	55.6s	95.4%	693.7 MB	970.6 MB	65 MB	32.9 MB	predictRF	2025-03-08T21:10:46Z	55.6	594	95.4	53.04240000000001	0.67744140625	0.9478515625	0.0634765625	0.03212890625	0.014734000000000002	0.015444444444444445
111	6d/8b7fb1	45581204	predictRF (89)	COMPLETED	0	2025-03-08T21:10:46Z	10m 9s	27.1s	95.4%	695.4 MB	970.7 MB	65 MB	33.5 MB	predictRF	2025-03-08T21:10:46Z	27.1	609	95.4	25.8534	0.6791015625	0.94794921875	0.0634765625	0.03271484375	0.0071815	0.007527777777777778
134	6d/a8f73a	45581213	predictRF (112)	COMPLETED	0	2025-03-08T21:10:46Z	12m 54s	26.8s	96.1%	699.7 MB	975.9 MB	64.8 MB	33.7 MB	predictRF	2025-03-08T21:10:46Z	26.8	774	96.1	25.7548	0.68330078125	0.95302734375	0.06328125	0.03291015625	0.007154111111111111	0.0074444444444444445
133	25/1328b4	45581214	predictRF (111)	COMPLETED	0	2025-03-08T21:10:46Z	12m 59s	27.5s	95.9%	694.1 MB	970.5 MB	64.7 MB	32 MB	predictRF	2025-03-08T21:10:46Z	27.5	779	95.9	26.3725	0.67783203125	0.94775390625	0.06318359375	0.03125	0.007325694444444444	0.007638888888888889
121	dc/8beeee	45581206	predictRF (99)	COMPLETED	0	2025-03-08T21:10:46Z	13m 9s	27.6s	95.7%	694 MB	970.7 MB	64.9 MB	30.8 MB	predictRF	2025-03-08T21:10:46Z	27.6	789	95.7	26.413200000000003	0.677734375	0.94794921875	0.06337890625	0.030078125	0.007337000000000001	0.007666666666666667
135	65/0fa449	45581215	predictRF (113)	COMPLETED	0	2025-03-08T21:10:46Z	13m 9s	20.8s	95.1%	580.9 MB	857.6 MB	55.6 MB	22.3 MB	predictRF	2025-03-08T21:10:46Z	20.8	789	95.1	19.7808	0.56728515625	0.8375	0.054296875	0.02177734375	0.005494666666666667	0.005777777777777778
132	e4/9b1019	45581217	predictRF (110)	COMPLETED	0	2025-03-08T21:10:46Z	13m 14s	28.7s	96.1%	694.1 MB	970.7 MB	65 MB	33.9 MB	predictRF	2025-03-08T21:10:46Z	28.7	794	96.1	27.580699999999997	0.67783203125	0.94794921875	0.0634765625	0.03310546875	0.007661305555555555	0.007972222222222223
112	24/ccdfbc	45581205	predictRF (90)	COMPLETED	0	2025-03-08T21:10:46Z	13m 19s	31.8s	95.5%	694.8 MB	970.7 MB	65.1 MB	33.7 MB	predictRF	2025-03-08T21:10:46Z	31.8	799	95.5	30.369	0.678515625	0.94794921875	0.06357421875	0.03291015625	0.008435833333333333	0.008833333333333334
129	3b/1e1069	45581210	predictRF (107)	COMPLETED	0	2025-03-08T21:10:46Z	13m 19s	31.3s	95.2%	694.2 MB	970.7 MB	64.9 MB	33.7 MB	predictRF	2025-03-08T21:10:46Z	31.3	799	95.2	29.797600000000003	0.6779296875	0.94794921875	0.06337890625	0.03291015625	0.008277111111111112	0.008694444444444444
130	09/00a77d	45581216	predictRF (108)	COMPLETED	0	2025-03-08T21:10:46Z	13m 24s	29.2s	95.8%	693.9 MB	970.7 MB	65 MB	31.9 MB	predictRF	2025-03-08T21:10:46Z	29.2	804	95.8	27.973599999999998	0.67763671875	0.94794921875	0.0634765625	0.03115234375	0.0077704444444444435	0.00811111111111111
128	1d/2761a1	45581212	predictRF (106)	COMPLETED	0	2025-03-08T21:10:46Z	13m 24s	29.4s	95.4%	693.6 MB	970.7 MB	65 MB	33.4 MB	predictRF	2025-03-08T21:10:46Z	29.4	804	95.4	28.047600000000003	0.67734375	0.94794921875	0.0634765625	0.0326171875	0.007791000000000001	0.008166666666666666
123	35/4597be	45581209	predictRF (101)	COMPLETED	0	2025-03-08T21:10:46Z	13m 24s	31s	95.1%	693.9 MB	970.7 MB	65 MB	30.9 MB	predictRF	2025-03-08T21:10:46Z	31	804	95.1	29.480999999999998	0.67763671875	0.94794921875	0.0634765625	0.03017578125	0.008189166666666666	0.008611111111111111
116	9b/17d326	45581207	predictRF (94)	COMPLETED	0	2025-03-08T21:10:46Z	13m 29s	31.5s	95.4%	695.5 MB	970.7 MB	65 MB	33.3 MB	predictRF	2025-03-08T21:10:46Z	31.5	809	95.4	30.051000000000002	0.67919921875	0.94794921875	0.0634765625	0.03251953125	0.0083475	0.00875
113	37/01cb24	45581208	predictRF (91)	COMPLETED	0	2025-03-08T21:10:46Z	13m 29s	31.5s	95.0%	694.2 MB	970.7 MB	65.1 MB	33.3 MB	predictRF	2025-03-08T21:10:46Z	31.5	809	95	29.925	0.6779296875	0.94794921875	0.06357421875	0.03251953125	0.0083125	0.00875
131	cd/5bef7a	45581211	predictRF (109)	COMPLETED	0	2025-03-08T21:10:46Z	13m 29s	29.2s	95.5%	694.6 MB	970.7 MB	65 MB	33.7 MB	predictRF	2025-03-08T21:10:46Z	29.2	809	95.5	27.886	0.6783203125	0.94794921875	0.0634765625	0.03291015625	0.007746111111111111	0.00811111111111111
11	93/ecedf0	45495805	FastKM (2)	COMPLETED	0	2025-03-08T16:53:05Z	4h 51m 1s	4h 43m 32s	4073.4%	29.9 GB	32.9 GB	148.4 GB	4 GB	FastKM	2025-03-08T16:53:05Z	17012	17461	4073.4	692966.808	29.9	32.9	148.4	4	192.49078	4.725555555555555
136	bc/fbe100	45581923	trainRF (7)	COMPLETED	0	2025-03-08T21:44:05Z	5m 40s	4m 55s	97.0%	11.3 GB	11.5 GB	1.8 GB	1.2 GB	trainRF	2025-03-08T21:44:05Z	295	340	97	286.15	11.3	11.5	1.8	1.2	0.0794861111111111	0.08194444444444444
151	cd/14a020	45582028	predictRF (128)	COMPLETED	0	2025-03-08T21:49:45Z	4m 50s	19.8s	95.6%	762.9 MB	1 GB	70.2 MB	39.5 MB	predictRF	2025-03-08T21:49:45Z	19.8	290	95.6	18.9288	0.74501953125	1	0.0685546875	0.03857421875	0.005258	0.0055000000000000005
149	61/963c3d	45582027	predictRF (126)	COMPLETED	0	2025-03-08T21:49:45Z	5m 5s	23.4s	95.7%	752.1 MB	1 GB	70.5 MB	40.1 MB	predictRF	2025-03-08T21:49:45Z	23.4	305	95.7	22.393800000000002	0.73447265625	1	0.06884765625	0.03916015625	0.0062205	0.0065
147	af/6b9e57	45582031	predictRF (124)	COMPLETED	0	2025-03-08T21:49:45Z	5m 5s	23.5s	95.3%	752.2 MB	1 GB	70.2 MB	39.6 MB	predictRF	2025-03-08T21:49:45Z	23.5	305	95.3	22.3955	0.7345703125	1	0.0685546875	0.038671875	0.0062209722222222215	0.006527777777777778
138	74/dd6e7a	45582039	predictRF (115)	COMPLETED	0	2025-03-08T21:49:46Z	5m 4s	23.4s	94.6%	758.5 MB	1 GB	70.5 MB	40.1 MB	predictRF	2025-03-08T21:49:46Z	23.4	304	94.6	22.1364	0.74072265625	1	0.06884765625	0.03916015625	0.006149	0.0065
140	94/3d0278	45582040	predictRF (117)	COMPLETED	0	2025-03-08T21:49:46Z	5m 4s	24.7s	95.3%	756.8 MB	1 GB	70.3 MB	39.8 MB	predictRF	2025-03-08T21:49:46Z	24.7	304	95.3	23.539099999999998	0.7390625	1	0.06865234375	0.0388671875	0.006538638888888888	0.006861111111111111
145	6c/2d3f24	45582035	predictRF (122)	COMPLETED	0	2025-03-08T21:49:46Z	5m 9s	26.8s	94.7%	758.1 MB	1 GB	70.5 MB	40.1 MB	predictRF	2025-03-08T21:49:46Z	26.8	309	94.7	25.3796	0.74033203125	1	0.06884765625	0.03916015625	0.0070498888888888885	0.0074444444444444445
144	bb/e543e2	45582032	predictRF (121)	COMPLETED	0	2025-03-08T21:49:46Z	5m 15s	26.6s	95.5%	756.7 MB	1 GB	70.6 MB	40.2 MB	predictRF	2025-03-08T21:49:46Z	26.6	315	95.5	25.403000000000002	0.73896484375	1	0.0689453125	0.0392578125	0.00705638888888889	0.007388888888888889
154	f4/9563a9	45582033	predictRF (131)	COMPLETED	0	2025-03-08T21:49:46Z	5m 14s	27.2s	94.6%	738.5 MB	1015.3 MB	68.9 MB	38.1 MB	predictRF	2025-03-08T21:49:46Z	27.2	314	94.6	25.731199999999998	0.72119140625	0.99150390625	0.06728515625	0.03720703125	0.0071475555555555546	0.007555555555555555
148	53/ba3e04	45582034	predictRF (125)	COMPLETED	0	2025-03-08T21:49:46Z	5m 14s	27.9s	95.2%	752.1 MB	1 GB	70.4 MB	39.9 MB	predictRF	2025-03-08T21:49:46Z	27.9	314	95.2	26.5608	0.73447265625	1	0.06875	0.03896484375	0.007378	0.00775
137	4e/423b26	45582042	predictRF (114)	COMPLETED	0	2025-03-08T21:49:46Z	5m 14s	21.1s	95.4%	757.8 MB	1 GB	70.4 MB	40 MB	predictRF	2025-03-08T21:49:46Z	21.1	314	95.4	20.129400000000004	0.7400390625	1	0.06875	0.0390625	0.005591500000000001	0.005861111111111111
141	c2/b5c1b6	45582041	predictRF (118)	COMPLETED	0	2025-03-08T21:49:46Z	5m 14s	28.4s	95.3%	756.5 MB	1 GB	70.3 MB	39.7 MB	predictRF	2025-03-08T21:49:46Z	28.4	314	95.3	27.0652	0.73876953125	1	0.06865234375	0.03876953125	0.007518111111111112	0.007888888888888888
142	07/73cd26	45582029	predictRF (119)	COMPLETED	0	2025-03-08T21:49:45Z	5m 20s	27.2s	95.4%	758.2 MB	1 GB	70.4 MB	39.9 MB	predictRF	2025-03-08T21:49:45Z	27.2	320	95.4	25.948800000000002	0.7404296875	1	0.06875	0.03896484375	0.007208000000000001	0.007555555555555555
153	b0/d2980f	45582030	predictRF (130)	COMPLETED	0	2025-03-08T21:49:45Z	5m 20s	27.2s	95.5%	758.5 MB	1 GB	70.4 MB	39.8 MB	predictRF	2025-03-08T21:49:45Z	27.2	320	95.5	25.976	0.74072265625	1	0.06875	0.0388671875	0.007215555555555555	0.007555555555555555
150	99/7fa148	45582037	predictRF (127)	COMPLETED	0	2025-03-08T21:49:46Z	5m 19s	28.8s	94.7%	758.2 MB	1 GB	70.4 MB	39.9 MB	predictRF	2025-03-08T21:49:46Z	28.8	319	94.7	27.273600000000002	0.7404296875	1	0.06875	0.03896484375	0.007576	0.008
146	5f/526db3	45582026	predictRF (123)	COMPLETED	0	2025-03-08T21:49:45Z	5m 20s	26.3s	94.8%	758.6 MB	1 GB	70.5 MB	40.1 MB	predictRF	2025-03-08T21:49:45Z	26.3	320	94.8	24.932399999999998	0.7408203125	1	0.06884765625	0.03916015625	0.006925666666666666	0.007305555555555556
139	f6/e0b277	45582043	predictRF (116)	COMPLETED	0	2025-03-08T21:49:46Z	5m 19s	21.3s	95.5%	757.7 MB	1 GB	70.5 MB	40.2 MB	predictRF	2025-03-08T21:49:46Z	21.3	319	95.5	20.3415	0.73994140625	1	0.06884765625	0.0392578125	0.0056504166666666664	0.005916666666666667
152	eb/fb055f	45582036	predictRF (129)	COMPLETED	0	2025-03-08T21:49:46Z	5m 19s	27.6s	94.7%	751.8 MB	1 GB	70.4 MB	39.9 MB	predictRF	2025-03-08T21:49:46Z	27.6	319	94.7	26.137200000000004	0.7341796875	1	0.06875	0.03896484375	0.007260333333333334	0.007666666666666667
143	de/31b27b	45582038	predictRF (120)	COMPLETED	0	2025-03-08T21:49:46Z	5m 19s	27.6s	94.7%	758 MB	1 GB	70.5 MB	40.1 MB	predictRF	2025-03-08T21:49:46Z	27.6	319	94.7	26.137200000000004	0.740234375	1	0.06884765625	0.03916015625	0.007260333333333334	0.007666666666666667
157	f8/4964b0	45582197	setHaplotypes (3)	COMPLETED	0	2025-03-08T21:55:05Z	34.9s	2.3s	86.3%	22.4 MB	48.1 MB	475.3 MB	245.4 MB	setHaplotypes	2025-03-08T21:55:05Z	2.3	34.9	86.3	1.9848999999999999	0.021875	0.04697265625	0.46416015625	0.2396484375	5.513611111111111e-4	6.388888888888888e-4
155	fc/e87cf5	45582198	setHaplotypes (1)	COMPLETED	0	2025-03-08T21:55:05Z	34.8s	2.9s	87.9%	22.4 MB	54.4 MB	620.4 MB	325.3 MB	setHaplotypes	2025-03-08T21:55:05Z	2.9	34.8	87.9	2.5491	0.021875	0.053125	0.605859375	0.31767578125	7.080833333333334e-4	8.055555555555556e-4
156	e1/39a72e	45582196	setHaplotypes (2)	COMPLETED	0	2025-03-08T21:55:05Z	34.9s	3.1s	86.3%	22.4 MB	54.4 MB	653.3 MB	342.8 MB	setHaplotypes	2025-03-08T21:55:05Z	3.1	34.9	86.3	2.6752999999999996	0.021875	0.053125	0.63798828125	0.334765625	7.431388888888888e-4	8.611111111111111e-4
161	8f/45790e	45582199	setHaplotypes (7)	COMPLETED	0	2025-03-08T21:55:05Z	39.8s	8s	88.7%	22.4 MB	54.4 MB	1.7 GB	927.6 MB	setHaplotypes	2025-03-08T21:55:05Z	8	39.8	88.7	7.096	0.021875	0.053125	1.7	0.905859375	0.001971111111111111	0.0022222222222222222
160	42/6c5fce	45582200	setHaplotypes (6)	COMPLETED	0	2025-03-08T21:55:05Z	39.7s	11.1s	89.9%	22.4 MB	54.4 MB	2.5 GB	1.4 GB	setHaplotypes	2025-03-08T21:55:05Z	11.1	39.7	89.9	9.9789	0.021875	0.053125	2.5	1.4	0.0027719166666666665	0.0030833333333333333
158	61/cc80a0	45582202	setHaplotypes (4)	COMPLETED	0	2025-03-08T21:55:05Z	44.7s	12.5s	90.2%	22.4 MB	54.4 MB	2.8 GB	1.5 GB	setHaplotypes	2025-03-08T21:55:05Z	12.5	44.7	90.2	11.275	0.021875	0.053125	2.8	1.5	0.0031319444444444446	0.003472222222222222
