dataset	major_stage	workflow_family	workflow	substage	cpu_threads	peak_rss_gb	cpu_definition	ram_definition	row_type	source_file
HG01109	Classification + assembly	RFhap workflow	RFhap + hifiasm-ONT	Haplotype assignment	1.0	0.010158538818359375	Maximum allocated CPUs per task	Maximum task RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/rfhap/pipelines_rfhap_info/pipeline_info_HG01109/execution_report_2025-11-24_13-41-45.html
HG01109	Classification + assembly	RFhap workflow	RFhap + hifiasm-ONT	Random Forest training	1.0	11.369132995605469	Maximum allocated CPUs per task	Maximum task RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/rfhap/pipelines_rfhap_info/pipeline_info_HG01109/execution_report_2025-11-24_13-41-45.html
HG01109	Parental databases	RFhap workflow	RFhap	K-mer database construction	20.0	19.528461456298828	Maximum allocated CPUs per task	Maximum task RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/rfhap/pipelines_rfhap_info/pipeline_info_HG01109/execution_report_2025-11-24_13-41-45.html
HG01109	Parental databases	RFhap workflow	RFhap	K-mer database sorting	1.0	0.0	Maximum allocated CPUs per task	Maximum task RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/rfhap/pipelines_rfhap_info/pipeline_info_HG01109/execution_report_2025-11-24_13-41-45.html
HG01243	Classification + assembly	RFhap workflow	RFhap + hifiasm-ONT	FASTKM feature extraction	44.0	19.465194702148438	Maximum allocated CPUs per task	Maximum task RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/rfhap/pipelines_rfhap_info/pipeline_info_HG01243/execution_report_2025-11-22_12-10-07.html
HG01243	Classification + assembly	RFhap workflow	RFhap + hifiasm-ONT	Random Forest prediction	1.0	0.7261962890625	Maximum allocated CPUs per task	Maximum task RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/rfhap/pipelines_rfhap_info/pipeline_info_HG01243/execution_report_2025-11-22_12-10-07.html
HG01243	Classification + assembly	RFhap workflow	RFhap + hifiasm-ONT	Input preparation	1.0	0.003173828125	Maximum allocated CPUs per task	Maximum task RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/rfhap/pipelines_rfhap_info/pipeline_info_HG01243/execution_report_2025-11-22_12-10-07.html
HG01243	Classification + assembly	RFhap workflow	RFhap + hifiasm-ONT	Read partitioning	8.0	0.17527389526367188	Maximum allocated CPUs per task	Maximum task RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/rfhap/pipelines_rfhap_info/pipeline_info_HG01243/execution_report_2025-11-22_12-10-07.html
HG01243	Classification + assembly	RFhap workflow	RFhap + hifiasm-ONT	Haplotype assignment	1.0	0.0115966796875	Maximum allocated CPUs per task	Maximum task RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/rfhap/pipelines_rfhap_info/pipeline_info_HG01243/execution_report_2025-11-22_12-10-07.html
HG01243	Classification + assembly	RFhap workflow	RFhap + hifiasm-ONT	Random Forest training	1.0	10.127044677734375	Maximum allocated CPUs per task	Maximum task RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/rfhap/pipelines_rfhap_info/pipeline_info_HG01243/execution_report_2025-11-22_12-10-07.html
HG01243	Parental databases	RFhap workflow	RFhap	K-mer database construction	20.0	18.713237762451172	Maximum allocated CPUs per task	Maximum task RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/rfhap/pipelines_rfhap_info/pipeline_info_HG01243/execution_report_2025-11-22_12-10-07.html
HG01243	Parental databases	RFhap workflow	RFhap	K-mer database sorting	1.0	0.0	Maximum allocated CPUs per task	Maximum task RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/rfhap/pipelines_rfhap_info/pipeline_info_HG01243/execution_report_2025-11-22_12-10-07.html
HG002	Classification + assembly	Hifiasm-trio	Hifiasm-trio	Integrated trio-binning + assembly	40.0	474.603	Requested command threads	Peak RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/hifiasm/HG002/logs_hifiasm_trio/hifiasm_trio.err
HG002	Parental databases	Hifiasm-trio	Hifiasm-trio	Yak maternal database	40.0	48.805	Requested command threads	Peak RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/hifiasm/HG002/logs_maternal_yak/yak.err
HG002	Parental databases	Hifiasm-trio	Hifiasm-trio	Yak paternal database	40.0	48.812	Requested command threads	Peak RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/hifiasm/HG002/logs_paternal_yak/yak.err
HG005	Classification + assembly	Hifiasm-trio	Hifiasm-trio	Integrated trio-binning + assembly	60.0	278.633	Requested command threads	Peak RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/hifiasm/HG005/logs_hifiasm_trio/hifiasm_trio.err
HG005	Parental databases	Hifiasm-trio	Hifiasm-trio	Yak maternal database	40.0	81.373	Requested command threads	Peak RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/hifiasm/HG005/logs_maternal_yak/yak.err
HG005	Parental databases	Hifiasm-trio	Hifiasm-trio	Yak paternal database	40.0	48.814	Requested command threads	Peak RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/hifiasm/HG005/logs_paternal_yak/yak.err
HG01109	Classification + assembly	Hifiasm-trio	Hifiasm-trio	Integrated trio-binning + assembly	60.0	277.47	Requested command threads	Peak RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/hifiasm/HG01109/logs_hifiasm_trio/hifiasm_trio.err
HG01109	Parental databases	Hifiasm-trio	Hifiasm-trio	Yak maternal database	40.0	48.806	Requested command threads	Peak RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/hifiasm/HG01109/logs_maternal_yak/yak.err
HG01109	Parental databases	Hifiasm-trio	Hifiasm-trio	Yak paternal database	40.0	48.797	Requested command threads	Peak RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/hifiasm/HG01109/logs_paternal_yak/yak.err
HG01243	Classification + assembly	Hifiasm-trio	Hifiasm-trio	Integrated trio-binning + assembly	60.0	240.689	Requested command threads	Peak RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/hifiasm/HG01243/logs_hifiasm_trio/hifiasm_trio.err
HG01243	Parental databases	Hifiasm-trio	Hifiasm-trio	Yak maternal database	40.0	48.83	Requested command threads	Peak RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/hifiasm/HG01243/logs_maternal_yak/yak.err
HG01243	Parental databases	Hifiasm-trio	Hifiasm-trio	Yak paternal database	40.0	48.801	Requested command threads	Peak RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/hifiasm/HG01243/logs_paternal_yak/yak.err
HG002	Classification + assembly	RFhap workflow	RFhap + hifiasm-ONT	Haplotype A assembly	60.0	277.762	Requested command threads	Peak RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/rfhap/assemblies/HG002/logs_hifiasm_hapA/hifiasm_hapA_.err
HG002	Classification + assembly	RFhap workflow	RFhap + hifiasm-ONT	Haplotype B assembly	60.0	278.691	Requested command threads	Peak RSS	component	/Users/damarizgonzalez/rfhap_ms/suplementary_table_3/rfhap/assemblies/HG002/logs_hifiasm_hapB/hifiasm_hapB_.err
