task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	54/ed0344	35125	create_kmers_database (4)	CACHED	0	2025-05-13 15:37:34.582	40m 15s	40m 10s	1182.2%	15.9 GB	23.1 GB	444.3 GB	202.2 GB
2	d1/c8d07e	35128	create_kmers_database (2)	CACHED	0	2025-05-13 15:37:34.732	14m 40s	14m 35s	1006.0%	11.3 GB	14.4 GB	436 GB	206.9 GB
1	d3/4600a3	35127	create_kmers_database (1)	CACHED	0	2025-05-13 15:37:34.679	28m 35s	28m 32s	1193.0%	11.3 GB	17.9 GB	429.7 GB	210.6 GB
3	65/03943a	35126	create_kmers_database (3)	CACHED	0	2025-05-13 15:37:34.623	33m 25s	33m 24s	1087.5%	11.3 GB	17.3 GB	446.6 GB	206.9 GB
5	f6/447007	35154	print_paths (2)	CACHED	0	2025-05-13 16:06:10.000	4.9s	53ms	83.6%	0	0	208.3 KB	1020 B
8	b6/26642f	35168	print_paths (4)	CACHED	0	2025-05-13 16:17:50.037	4.9s	53ms	83.0%	0	0	208.3 KB	1020 B
6	c8/cd1447	35157	print_paths (3)	CACHED	0	2025-05-13 16:10:59.999	5s	46ms	76.2%	0	0	208.3 KB	1020 B
7	a2/28b777	35143	print_paths (1)	CACHED	0	2025-05-13 15:52:14.977	4.9s	49ms	63.0%	0	0	208.3 KB	1020 B
9	6e/fa6d50	35169	sort_kmer_db (1)	CACHED	0	2025-05-13 16:17:55.059	4.9s	27ms	66.7%	0	0	135.1 KB	3.2 KB
14	e3/df52f7	35197	FastKM (5)	COMPLETED	0	2025-05-13 16:33:37.728	1h 49m 9s	1h 49m 8s	3511.2%	28 GB	32 GB	56.8 GB	3.8 GB
22	ef/d3adec	35308	trainRF (1)	COMPLETED	0	2025-05-13 18:22:47.297	6m 10s	5m 47s	98.1%	5.7 GB	7.9 GB	434.6 MB	289.8 MB
23	7c/799cfd	35311	predictRF (1)	COMPLETED	0	2025-05-13 18:28:57.255	54.9s	44s	98.7%	705.9 MB	3 GB	67.2 MB	38.3 MB
